algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
dijkstra,2249.835779391646,260,piscataway_new_jersey_usa_drive.graphml,9,15,True,345,2,0.0027443000581115484,295
astar,2249.835779391646,84,piscataway_new_jersey_usa_drive.graphml,9,15,True,118,2,0.0009926999919116497,108
dijkstra,4843.561220182204,747,piscataway_new_jersey_usa_drive.graphml,10,39,True,892,0,0.006835500011220574,796
astar,4843.561220182204,258,piscataway_new_jersey_usa_drive.graphml,10,39,True,370,0,0.003132699988782406,309
dijkstra,4843.561220182204,747,piscataway_new_jersey_usa_drive.graphml,10,39,True,892,1,0.008411600021645427,796
astar,4843.561220182204,258,piscataway_new_jersey_usa_drive.graphml,10,39,True,370,1,0.0030990999657660723,309
dijkstra,4843.561220182204,747,piscataway_new_jersey_usa_drive.graphml,10,39,True,892,2,0.006714200018905103,796
astar,4843.561220182204,258,piscataway_new_jersey_usa_drive.graphml,10,39,True,370,2,0.003469599992968142,309
dijkstra,5336.45455413949,1231,piscataway_new_jersey_usa_drive.graphml,11,43,True,1459,0,0.013432599953375757,1308
astar,5336.45455413949,183,piscataway_new_jersey_usa_drive.graphml,11,43,True,236,0,0.0025067999958992004,216
dijkstra,5336.45455413949,1231,piscataway_new_jersey_usa_drive.graphml,11,43,True,1459,1,0.011489499942399561,1308
astar,5336.45455413949,183,piscataway_new_jersey_usa_drive.graphml,11,43,True,236,1,0.0025797999696806073,216
dijkstra,5336.45455413949,1231,piscataway_new_jersey_usa_drive.graphml,11,43,True,1459,2,0.01525330008007586,1308
astar,5336.45455413949,183,piscataway_new_jersey_usa_drive.graphml,11,43,True,236,2,0.0026883999817073345,216
dijkstra,4152.522228167918,315,piscataway_new_jersey_usa_drive.graphml,12,35,True,369,0,0.002700999961234629,338
astar,4152.522228167918,141,piscataway_new_jersey_usa_drive.graphml,12,35,True,165,0,0.0013970000436529517,153
dijkstra,4152.522228167918,315,piscataway_new_jersey_usa_drive.graphml,12,35,True,369,1,0.002601299900561571,338
astar,4152.522228167918,141,piscataway_new_jersey_usa_drive.graphml,12,35,True,165,1,0.0013574999757111073,153
dijkstra,4152.522228167918,315,piscataway_new_jersey_usa_drive.graphml,12,35,True,369,2,0.002521399990655482,338
astar,4152.522228167918,141,piscataway_new_jersey_usa_drive.graphml,12,35,True,165,2,0.001345600001513958,153
dijkstra,1297.2916625840078,114,piscataway_new_jersey_usa_drive.graphml,13,13,True,142,0,0.0009701999370008707,133
astar,1297.2916625840078,30,piscataway_new_jersey_usa_drive.graphml,13,13,True,42,0,0.0003279000520706177,42
dijkstra,1297.2916625840078,114,piscataway_new_jersey_usa_drive.graphml,13,13,True,142,1,0.0015397000825032592,133
astar,1297.2916625840078,30,piscataway_new_jersey_usa_drive.graphml,13,13,True,42,1,0.00036230008117854595,42
dijkstra,1297.2916625840078,114,piscataway_new_jersey_usa_drive.graphml,13,13,True,142,2,0.0010576000204309821,133
astar,1297.2916625840078,30,piscataway_new_jersey_usa_drive.graphml,13,13,True,42,2,0.0003212000010535121,42
